Game Title,Game Publisher,Game Platform,Game Genre,Game Release Date,Critic Score,User Score,Year
Star Wars: Battlefront II,LucasArts,PC,Action/Shooter/Shooter/First-Person/Sci-Fi/Sci-Fi/Arcade,2005-10-31,78,8.6,2005.0
Milkmaid of the Milky Way,machineboy,PC,Adventure/Point-and-Click,2017-01-04,74,7.0,2017.0
Hatsune Miku: Project Diva Future Tone - Future Sound,Sega,PlayStation 4,Action/Rhythm/Music,2017-01-10,84,7.7,2017.0
Hatsune Miku: Project Diva Future Tone - Colorful Tone,Sega,PlayStation 4,Action/Rhythm/Music,2017-01-10,84,7.9,2017.0
Nevermind,Flying Mollusk,Xbox One,Action Adventure/Adventure/3D/Linear/First-Person,2017-01-11,65,6.3,2017.0
Detention,Red Candle Games,PC,Adventure/General,2017-01-12,83,7.8,2017.0
Rise & Shine,Adult Swim,PC,Action/Platformer/2D,2017-01-13,64,6.0,2017.0
Rise & Shine,Adult Swim,Xbox One,Action/Platformer/2D,2017-01-13,66,6.2,2017.0
Dead Effect 2,BadFly Interactive/a.s/BadFly Interactive,Xbox One,Action/General/Shooter/First-Person/Arcade,2017-01-13,56,6.4,2017.0
RWBY: Grimm Eclipse,Rooster Teeth Games,Xbox One,Action/Beat-'Em-Up/3D,2017-01-17,57,6.4,2017.0
The Flame in the Flood: Complete Edition,Curve Digital/The Molasses Flood,PlayStation 4,Action Adventure/General/Survival,2017-01-17,76,6.2,2017.0
She Remembered Caterpillars,Ysbryd Games,PC,Puzzle/Action,2017-01-17,82,5.9,2017.0
Siegecraft Commander,Blowfish Studios,Xbox One,Strategy/Real-Time/MOBA/Defense,2017-01-17,61,tbd,2017.0
Atelier Shallie Plus: Alchemists of the Dusk Sea,Koei Tecmo Games,PlayStation Vita,Role-Playing/Japanese-Style,2017-01-17,78,7.5,2017.0
Fate/Extella: The Umbral Star,XSEED Games,PlayStation 4,Action/Beat-'Em-Up/3D,2017-01-17,67,7.2,2017.0
Mighty Morphin Power Rangers: Mega Battle,Bandai Namco Games,PlayStation 4,Action/Beat-'Em-Up/2D,2017-01-17,49,7.5,2017.0
2064: Read Only Memories,MidBoss,PlayStation 4,General/Adventure/Point-and-Click,2017-01-17,76,3.4,2017.0
"Warhammer 40,000: Sanctus Reach",Slitherine,PC,Strategy/Real-Time/General,2017-01-19,69,6.9,2017.0
Stars in Shadow,Iceberg Interactive,PC,Strategy/Turn-Based/General/4X,2017-01-19,75,8.3,2017.0
I Am Bread,Bossa Studios,Xbox One,Action/Miscellaneous/General/Platformer/3D,2017-01-20,59,3.8,2017.0
The Assembly,nDreams,Xbox One,Miscellaneous/General,2017-01-20,70,6.0,2017.0
Metrico+,Digital Dreams,Xbox One,Puzzle/Action,2017-01-20,75,tbd,2017.0
Dragon Quest VIII: Journey of the Cursed King,Square Enix/Nintendo,3DS,Role-Playing/Japanese-Style,2017-01-20,85,8.6,2017.0
Hunter's Legacy,Lienzo,Xbox One,Action/Action Adventure/Platformer/Open-World/2D/Metroidvania,2017-01-20,61,tbd,2017.0
Toby: The Secret Mine,Headup Games,Xbox One,Action/Platformer/2D,2017-01-20,62,5.0,2017.0
Gravity Rush 2,SCEA/SCEI/Sony Interactive Entertainment,PlayStation 4,Action/Action Adventure/Platformer/Open-World/3D,2017-01-20,80,8.1,2017.0
Urban Empire,Kalypso,PC,Strategy/Management/Government,2017-01-20,62,5.3,2017.0
Resident Evil 7: biohazard,Capcom,PC,Action Adventure/Survival,2017-01-23,83,7.9,2017.0
Yakuza 0,Sega,PlayStation 4,Action Adventure/Open-World,2017-01-24,85,8.6,2017.0
Resident Evil 7: biohazard,Capcom,PlayStation 4,Action Adventure/Survival,2017-01-24,86,8.1,2017.0
Moto Racer 4,Microids,PlayStation 4,Racing/Arcade/Other,2017-01-24,49,4.7,2017.0
Resident Evil 7: biohazard,Capcom,Xbox One,Action Adventure/Survival,2017-01-24,86,8.1,2017.0
